Province_id,Province_name,Year,Pop,Pop_den,Literate,Trained,GDPpc,Real_gdp_pc,Real_grdp,Agri,Indus,Service,tax_rev,cus_rev,Total_in,Domestic_in,FDI_in,Dom_in_rate,Registered_FDI,Nonpublic_wage,FDI_eachyear,Total_internet,Total_phones,Market_cost,Land_cost,Time_cost,Unofficial_cost,Proactive_leadership,Business_support,Legal_quality,Accum_FDI_pro,Accum_FDI,FDI_Projects,FDI_regis,Net-migration
60,Binh Thuan,2015,1205.447,0.151,93.3,13.4,39.1,26.327,31736,11454,6381,11877,2022,451511,13146,,109,1,80,4014,4821,64000,,8.2,8.2,8.2,8.2,8.1,8.1,8.1,117,3527.9,2,90.8,
60,Binh Thuan,2016,1213.562,0.1528,93.7,13.4,43.2,28.168,34184,11508,7421,12809,2445,1954533,13720,,618,1,3,4560,3712,66100,,8.8,5.8,6.4,5.4,4.2,5.7,5,130,3541.3,10,12.5,
60,Binh Thuan,2017,1220.467,0.1536,94,15.6,47.9,29.988,36599,12194,8002,13822,2580,1663205,14644,,882,0.9,13,5151,5794,67100,,8.2,6.6,6.2,5.6,5.3,7,4.8,136,3566.8,6,30.4,
60,Binh Thuan,2018,1227.269,0.1545,94.1,16,53.4,32.369,39725,12519,9716,14741,2749,1299504,16594,,1726,0.9,1,5903,5853,82000,,8.2,6.6,7.7,7.2,5.7,6.4,5.9,138,3571.7,1,20.1,
60,Binh Thuan,2019,1232.267,0.155,94.6,16.3,61.6,35.605,43875,12865,12245,15763,3001,1929155,22437,,2368,0.9,157,,,127170,,7.3,6.7,6.7,6.9,6.5,6.5,5.9,147,3730.3,9,180.9,
66,Dak Lak,2015,1820.1,0.1,92.6,13.3,33.5,20.5,37266,14684,4718,16251,1613,60117,9995258,,141878,1,18,2854,4931,114934,,8.4,8.3,8.3,8.3,8.3,8.3,8.3,13,260,3,30.8,
66,Dak Lak,2016,1836.4,0.1,93.2,13.9,35.4,21.5,39525,15049,5218,17503,1755,38993,12529972,,172204,1,0,4839,7658,148832,,8.7,6,6.1,4.4,5,5.9,5.3,13,135.5,1,0.2,
66,Dak Lak,2017,1850.3,0.1,92,14.1,38.2,22.9,42340,15925,5983,18655,1777,43924,14239406,,176494,1,4,4840,6135,175838,,7,6.9,6,4.9,5.4,6.8,5.8,15,194,2,60.2,
66,Dak Lak,2018,1861.5,0.1,90.4,14.4,39.1,24.2,45077,16748,6322,19911,2096,204840,15808665,,148695,1,2,5017,9244,201774,,6.7,6.6,6.9,6.3,5.3,6.3,6.2,16,153.5,2,29.5,
66,Dak Lak,2019,1872.6,0.1,92.6,14.4,41.6,25.5,47733,17397,6758,21282,2296,142696,17704265,,155500,1,0,5101,9398,235425,,6.9,6.4,6.5,5.3,5.6,6.9,5.7,16,153.5,0,2.6,
